ID,Name,Description,Conversion factor,Synonyms,Unit group
8ee3bcbf-9e65-4f59-9b0b-40b504cbe345,ac,Acre (US Survey),4046.872,acre (US);acre,Units of area
e114cd83-3e7f-4466-8028-761c0469f7c7,are,Are,100.0,,Units of area
588613d5-6c8c-4ab6-8c69-ec5e20ef7881,cm2,Square centimetre,1.0E-4,,Units of area
dc4bb818-ab06-4f65-ade9-a69a3ca116fd,dm2,Square decimetre,0.01,,Units of area
c66d26f1-7946-4027-85f0-ac79222a59f1,ft2,Square international foot,0.09290304,ft²;sq.ft,Units of area
debee4d9-bc47-4e35-8624-4957ecb75386,ha,Hectare,10000.0,,Units of area
cd277914-c68c-4be4-b7cf-cdf17a6e7f48,in2,Square inch,6.4516E-4,sq.in,Units of area
b9a011a0-c9bf-459b-b105-2623d1b61ddf,km2,Square kilometre,1000000.0,km²,Units of area
3ce61faa-5716-41c1-aef6-b5920054acc9,m2,Square metre,1.0,m²,Units of area
20ce5f57-69b1-438b-a8e8-23089854d058,mi2,Square international mile,2589988.11,mi²;sq.mi,Units of area
0992b8e3-489a-46ea-8d71-1bf951ece5d0,mm2,Square millimetre,1.0E-6,,Units of area
4689d28c-29f6-4f0a-ad03-0276f7070edd,nmi2,Square nautical mile,3429904.0,,Units of area
6c4b1e4a-bf45-4385-a60c-12cc48ecbab5,yd2,Square international yard,0.836127,sq.yd,Units of area
0d255e00-8aa1-434e-b6cd-43991a87d3fa,cm2a,Square centimetre times year,1.0E-4,,Units of area*time
efbbab8b-eb92-4e39-bd5f-99951ffda6c3,ft2*a,Square international foot times year,0.090304,ft²*a;ft²a;ft2a,Units of area*time
4866ec7b-6218-4783-87b4-cbd107280a85,ha*a,Hectare times year,10000.0,ha a,Units of area*time
c8166ae2-b592-4eb9-b365-e384c8b79f3c,km2*a,Square kilometre times year,999999.9999999999,km²*a;km2a;km²a,Units of area*time
c7266b67-4ea2-457f-b391-9b94e26e195a,m2*a,Square metre times year,1.0,m²*a;m2a;m²a;m2*year,Units of area*time
00d8370e-2bf1-4f3b-81bb-f8f147e84819,m2*d,Square metre times day,0.00273972602,,Units of area*time
1c43f336-c84b-4f42-bbf7-b1b6f89e121a,mi2*a,Square international mile times year,2589988.11,mi²*a;mi2a;mi²a,Units of area*time
b396b97c-29ab-409a-b6fa-2285589041bd,mm2a,Square millimetre times year,1.0E-6,,Units of area*time
f5b2fb9d-ccc4-4b71-b5cc-59618fc0e170,AUD,,0.699,,Units of currency
cfa81ea3-c1c9-4319-af9f-17d069603659,CAD,,0.76,,Units of currency
2c42095d-580c-40c4-a9a3-5d9eb78ef285,CHF,,1.06,,Units of currency
8481fea2-c670-4c7f-baa7-c81d0656c80f,CNY,,0.147,,Units of currency
5f12a853-06a8-4277-833c-bca877cb29ee,EUR,,1.12,,Units of currency
e24ca38c-cb14-44d3-85e7-d801c97fdf34,GBP,,1.28,,Units of currency
ac90ae60-f133-45a9-8bd3-b0cca36465c7,HKD,,0.128,,Units of currency
d0f654ec-8451-4c47-bcc7-167cff07b31f,JPY,,0.00835,,Units of currency
755b34c3-4525-449b-b576-7269c0f633db,SEK,,0.104,,Units of currency
bf5acdd4-f257-466f-8a45-721a25dd1820,SGD,,0.733,,Units of currency
a24e8745-d867-449e-a6a2-3fdbde687125,USD,,1.0,,Units of currency
673a9bd3-6385-46a7-b552-b9f39b361ca3,ZAR,,0.062,,Units of currency
55244053-94ba-404e-9172-cb279d905e00,btu,British thermal unit (International Table),0.0010551,,Units of energy
01e58eb9-0aba-4c76-ba0c-03f6f3be1353,GJ,Gigajoule,1000.0,,Units of energy
469d61f1-3bc4-4841-8adf-873825c1bc11,J,Joule,1.0E-6,,Units of energy
010f811e-3cc2-4b14-a901-337da9b3e49c,kcal,Kilocalorie (International Table),0.004184,,Units of energy
f4119718-2d50-47fe-9154-cab6fd2d30eb,kJ,Kilojoule,0.001,,Units of energy
86ad2244-1f0e-4912-af53-7865283103e4,kWh,Kilowatt times hour,3.6,,Units of energy
52765a6c-3896-43c2-b2f4-c679acf13efe,MJ,Megajoule,1.0,,Units of energy
92e3bd49-8ed5-4885-9db6-fc88c7afcfcb,MWh,Megawatt times hour,3600.0,,Units of energy
ff1a332f-967c-4084-8b01-8d3ca81b3121,PJ,Petajoule,1.0E9,,Units of energy
787f2ac9-7bcd-4a91-9fab-55bfe414138f,TCE,Tonne coal equivalent,29307.6,,Units of energy
57c492e7-d94b-4fcc-98df-cdc4163b754c,TJ,Terajoule,1000000.0,,Units of energy
425aff51-b7e5-4561-aa5a-562ec103a79e,TOE,Tonne oil equivalent,41868.0,,Units of energy
fc3604f7-aa93-4aa3-8ae9-8f822874da5f,Wh,Watt times hour,0.0036,,Units of energy
127eddde-af81-4d0d-88f3-123c0b65d971,ch,Chain,20.1168,,Units of length
d018183e-ea8c-4a41-a303-627c9b9b173d,cm,Centimetre,0.01,,Units of length
9428cdb2-e08e-46f9-a9aa-85cc11416b5f,dam,Decametre,10.0,,Units of length
35b9b720-0518-4476-941e-282d9654161a,dm,Decimetre,0.1,,Units of length
f7905d3f-904d-4fdb-829e-54a72fb4c98e,ft,International foot,0.3048,,Units of length
31ace5ab-d905-46ef-b958-caa2e65d6424,ftm,Fathom,1.8288,,Units of length
1135c9c8-05e9-4831-9eb2-e1c4759f218d,fur,Furlong,201.168,,Units of length
2a39ac84-f3f0-4296-8907-ffc2f41aebfc,hh,Hand,0.10159999999999998,,Units of length
0a025f54-0114-4548-a564-d91aa8eb8174,hm,Hectometre,100.0,,Units of length
030e99e1-2237-483c-8447-8b3a256d8b0d,in,Inch,0.025399999999999995,inch,Units of length
715ca68e-0ac5-4c4b-b557-fdc36623be88,km,Kilometre,1000.0,,Units of length
3d314eab-ef11-4ff3-a35e-9bc5cd858694,m,Metre,1.0,,Units of length
4a51d52b-f94f-4168-a38c-c612f14b8a2d,mi,International mile,1609.344,mile,Units of length
cc44768b-c0ce-4bc9-804a-c59b67d22e39,mm,Millimetre,0.001,,Units of length
1f112940-6c27-4c75-828a-46d548d71cff,nmi,Nautical mile,1852.0,,Units of length
9003179a-bf17-4e89-8fd7-a0c1c91ac189,u,Micron,9.999999999999997E-7,µm;um,Units of length
a16960ba-31e2-4fe9-82fe-219013f4708f,yd,International yard,0.9144,yard,Units of length
8cbb4edb-d76c-41f7-8b30-cc789217c954,km*a,Kilometre times year,1.0,kmy;km*year,Units of length*time
f7fe0af2-e764-4984-bb9f-2cbff6cd2f18,m*a,Metre times year,0.001,ma;my,Units of length*time
7d082bce-60f5-4588-86bb-56e0dff1c8a8,mi*a,International mile times year,1.609344,miy,Units of length*time
218bf752-ec01-43a9-b87c-0e733374fffd,cg,Centigram,1.0E-5,,Units of mass
ae5cced9-f9f1-4719-bd37-837b36013d96,ct,Matric carat,2.0E-4,carat,Units of mass
2a0b9356-a2dd-444f-991e-ce66cd174c9e,cwt,Short hundredweight,45.359237,,Units of mass
90d59045-3565-4c5a-bb27-ebc365aacbd0,dag,Decagram,0.01,,Units of mass
2ac22d0d-9e02-4459-9402-923490e4e1b4,dg,Decigram,1.0E-4,,Units of mass
56f42b51-bb05-4dcd-a069-0693f167304c,dr (Av),Dram (Avoirdupois),0.0017718451953125,,Units of mass
a3350a8a-5cb0-440d-9752-8afe8c08c455,dwt,Pennyweight,0.001555174,,Units of mass
e1317ffc-7f83-4a85-bc65-4fb229a25cf8,g,Gram,0.001,,Units of mass
78af80e7-ede4-4a65-b04d-97d9ce4f39d3,grain,Grain,6.479891E-5,gr,Units of mass
86dfd16d-d1d8-4b71-88af-0e1126425c77,hg,Hectogram,0.1,,Units of mass
20aadc24-a391-41cf-b340-3e4529f44bde,kg,Kilogram,1.0,,Units of mass
95dd50e9-c184-4412-9afc-9764b1ffcf8f,kg SWU,Kilogram (Separative Work Unit),1.0,,Units of mass
e720c842-19f5-4a38-8573-78dd13719f5b,kt,Kilotonne,1000000.0,,Units of mass
0300ec69-ce1a-45f0-bcf0-7b33845dc53e,lb av,British pound (Avoirdupois),0.45359237,lb,Units of mass
e5ccc940-eb40-41f9-847e-5ee691ba8c2f,long tn,Long ton,1016.047,tn.lg,Units of mass
b872a063-0500-42b7-9e5d-441642d84417,mg,Milligram,1.0E-6,,Units of mass
d022bf34-1162-4579-90ab-dcca9620ce54,Mg,Megagram,1000.0,,Units of mass
9dd23b40-4394-4f9a-9572-5f2ee9643864,Mt,Megatonne,1.0E9,Mtn,Units of mass
63214902-17d4-41a0-be10-d1cad375c32e,ng,Nanogram,1.0E-12,,Units of mass
fa44e424-f37b-419d-8475-723429d63c08,oz av,Ounce (Avoirdupois),0.028349523125,oz,Units of mass
2457aee5-c7ee-4416-a65a-5be4ff2b2976,oz t,Ounce (Troy),0.0311034768,,Units of mass
68c83ad3-bc5b-414a-81f7-5b47af2c8a23,pg,Picogram,1.0E-15,,Units of mass
d4922696-9c95-4b5d-a876-425e98276978,sh tn,Short ton,907.18,tn.sh,Units of mass
83192ffa-5990-490b-a23a-b45ca072db6f,t,Tonne,1000.0,ton,Units of mass
d01259b2-24c2-46af-a7fe-36dd025ead15,ug,Microgram,1.0E-9,µg,Units of mass
a40229e6-7275-42e3-a304-23d590044770,kg*km,Kilogram times kilometre,0.001,kgkm,Units of mass*length
097768e6-0763-4126-a253-e323cafdf77e,kt*km,Kilotonne times kilometre,1000.0,ktkm,Units of mass*length
5458351a-f6f7-4e0b-a449-823c9b6374db,lb*mi,British pound (Avoirdupois) times international mile,7.2998615E-4,,Units of mass*length
d24270f0-c1f2-49ec-a6bf-e86a74177070,lb*nmi,British pound (Avoirdupois) times nautical mile,8.40531E-4,,Units of mass*length
0dea4ed8-bb6b-4049-b2b4-b2c413ef2180,t*km,Metric tonne times kilometre,1.0,tkm;metric ton*km,Units of mass*length
3cc51ae9-b993-4a3d-964e-0aed8d7f3966,t*mi,Metric tonne times international mile,1.609344,,Units of mass*length
7dd57df4-c092-41aa-966e-c93a27797ea1,t*nmi,Metric tonne times nautical mile,1.852,,Units of mass*length
2fdc0039-6c5e-489a-af77-b225684fa337,g*a,Gram times year,0.365,,Units of mass*time
b2ad404c-3e4f-4a7a-a604-46fb36654823,kg*a,Kilogram times year,365.0,kgy,Units of mass*time
ab01fe47-d2c0-4308-adb1-e32df38d5a50,kg*d,Kilogram times day,1.0,kg*day,Units of mass*time
23cc7a32-f08a-43df-a87c-66953eeeb3f5,t*a,Metric tonne times year,365000.0,,Units of mass*time
5209be3d-094e-4203-a074-06d7b75e9a38,t*d,Metric tonne times day,1000.0,,Units of mass*time
653766dc-b4d1-4a62-b0b0-69fe4c4be931,cmol,,0.01,,Units of mole
807ff448-c8bc-4d1f-b3b6-7c6b8d16eee9,mol,,1.0,,Units of mole
3bd6c6c3-bb61-46f3-b19a-c87ac5502bb7,Dozen(s),Dozen(s) of items,12.0,dozen,Units of number
6dabe201-aaac-4509-92f0-d00c26cb72ab,Item(s),Number of items,1.0,unit;LU;pig place;p;item,Units of number
2abb86b6-e71b-4de5-a766-a20e80e59b6d,Items*km,Item times kilometre,1.0,,Units of number*length
ce39138f-55f8-47bc-b55a-66027fc836d9,Items*mi,Item times international mile,1.609344,,Units of number*length
9bf0166c-fa76-47d0-95af-054ea9125f2c,Items*nmi,Item times nautical mile,1.852,,Units of number*length
885f4273-ff04-46b1-a1d7-03c712dffa41,v*km,Vehicle times kilometre,1.0,vkm,Units of number*length
fe8da65d-f0ea-4496-b13e-1955aaa412d7,p*km,Person times kilometre,1.0,pkm;personkm;person*km,Units of person*length
702d94e7-fbae-4a99-a2f5-b26db21126d6,p*mi,Person times international mile,1.609344,pmi,Units of person*length
5dc11308-c00e-4c91-8d8d-8a458a5ea968,guest night,Person times day,1.0,,Units of person*time
c1045008-343e-43e0-8e6d-32eb48bf3f59,GW,Gigawatt,1.0E9,GWp,Units of power
944d227c-c7cf-421a-b54b-277fd77b8f18,kW,Kilowatt,1000.0,kWp,Units of power
fab62514-4b89-4ef3-9e82-79e4533c2ad9,MW,Megawatt,1000000.0,MWp,Units of power
8e453491-064d-486f-b043-7d5f6e260364,W,Watt,1.0,Wp,Units of power
ac324d87-9961-463a-81a1-099bb0f7d89b,Bq,Bequerel,0.001,,Units of radioactivity
ef6d9358-a156-4c73-b678-320ddee7d2eb,Ci,Curie,3.7E7,,Units of radioactivity
e9773595-284e-46dd-9671-5fc9ff406833,kBq,Kilobequerel,1.0,,Units of radioactivity
e2987dad-3b7e-451e-82df-fe91756e752a,mBq,Milibequerel,1.0E-6,,Units of radioactivity
df1ceca8-2d2a-46fa-91c1-24e5dd0f248f,nBq,Nanobequerel,1.0E-12,,Units of radioactivity
a45722ee-fc30-4bb1-aa95-5c8fb56c6bfb,Rutherford,Rutherford,1000.0,,Units of radioactivity
a9736781-d59e-43dc-8584-147b50595c1c,µBq,Microbequerel,1.0E-9,,Units of radioactivity
9a87f840-752d-4863-b911-533f92ee5073,a,Year,8760.0,year;yr,Units of time
11074cfd-08a4-449b-adad-18ce24a1b275,d,Day,24.0,day,Units of time
227a54d9-44e7-468c-b8bb-f2dd1ae68c7a,h,Hour,1.0,hr,Units of time
9fa94e47-03bd-4ad1-8726-e10cfb6dbb7a,min,Minute,0.01666666666666667,,Units of time
845178d8-3f2c-497f-9ca6-3c5657c2823c,s,Second,2.777777777777778E-4,,Units of time
91995a9e-3cb4-4fc9-a93b-8c618ff9b948,bbl,Barrel (Petroleum),0.158987294928,,Units of volume
9bc2cfb2-fb43-42e6-9783-6c7479c78cce,bl (Imp),Barrel (Imperial),0.158987294928,,Units of volume
a681e9e5-6304-45f0-a5f4-df413eee0724,bl (US beer),Barrel (US Beer),0.117,,Units of volume
1c4169d1-4fee-40e3-9868-953ee15e26ae,bl (US dry),Barrel (US Dry),0.1156,,Units of volume
89121cea-0d98-4466-9b0f-e33e448db7ec,bl (US fl),Barrel (US Non-beer fluid),0.119,,Units of volume
90888d8d-3d57-497f-a3fa-12aefd2bc774,bsh (Imp),Imperial bushel,0.03636872,,Units of volume
5ec65531-6bb4-4990-a687-44e9ab8f3529,bsh (US),US bushel,0.03,,Units of volume
ac4057f9-ec4a-4b31-9d3b-ff96969e50ff,cl,Centilitre,1.0E-5,cL,Units of volume
46930fb7-8660-42a4-983e-19cf53da740b,cm3,Cubic centimetre,1.0E-6,,Units of volume
07973a41-56b3-4e1b-a208-fd75a09fbd4b,cu ft,Cubic feet,0.0283168,cuft,Units of volume
2d895297-8e96-45f1-b256-a6d4ccd4bbc4,dal,Decalitre,0.01,daL,Units of volume
626c92d5-dcc2-40d4-b28b-4a4f82123740,dl,Decilitre,1.0E-4,dL,Units of volume
2ea37335-f10b-4fcc-b4a9-0a742d651fa2,dm3,Cubic decimeter,0.001,,Units of volume
72ef94e2-bf0c-4e85-a74c-f3b5ed1bd73e,dr (Fl),Dram (Fluid),3.6966911953125E-6,,Units of volume
806c64aa-8609-4ff6-a033-6714a3348f24,fl oz (Imp),Fluid ounce (Imperial),2.841E-5,,Units of volume
8aa31dda-e324-469c-a29d-56476584f5ca,gal (Imp),Gallon (Imperial),0.00454609,,Units of volume
c530708d-be50-4207-b536-23d0857210bf,gal (US dry),Gallon (US Dry),0.00440488377086,,Units of volume
431df202-da83-4baa-b576-5d17f59f0c8a,gal (US fl),Gallon (US Fluid),0.003785411784,,Units of volume
62eb6f51-0574-4489-ae1a-1bd806f6c2ac,gal (US liq),Gallon (US Liquid),0.003785411784,gal*,Units of volume
078c7a18-a743-491d-87c2-530454661ef1,gill,Gill,1.18294E-4,,Units of volume
e24e5e7b-6c5c-4847-969d-7772ed5df017,hl,Hectolitre,0.1,hL,Units of volume
cff8f1bf-bda0-4fc1-b14c-537d8861dcce,Imp.min.,Minim,5.91938802E-8,,Units of volume
6a7531d3-3b83-4dda-8b18-4e3528491f9e,in3,Cubic inch,1.63871E-5,cu.in,Units of volume
b80a512e-e402-4363-8ad0-7d02dcf4a459,l,Litre,0.001,,Units of volume
1c3a9695-398d-4b1f-b07e-a8715b610f70,m3,Cubic metre,1.0,m³;kl;kL;Sm3;Nm3,Units of volume
81696a66-6919-4bbb-a3ab-c79b2900de7d,ml,Millilitre,1.0E-6,mL,Units of volume
505845e0-3f71-46d4-acfa-8c4ed8d3c305,mm3,Cubic millimetre,1.0E-9,,Units of volume
7642bdc2-cdfa-4cc5-9e12-2255f561842a,pk,Peck,0.008809768,,Units of volume
c026770b-5b4f-467d-8fdb-15dfb8e52913,pt (Imp),Pint (Imperial),5.6826125E-4,,Units of volume
a19bcd84-e836-4764-8367-419dac3d2434,pt (US dry),Pint (US Dry),5.506E-4,,Units of volume
2df86f1f-293e-4e07-9cde-34eebc6d2c5f,pt (US fl),Pint (US Fluid),4.73E-4,,Units of volume
08d8bee4-32ca-4cc3-ad33-838377e6517a,qt (US dry),Quart (US Dry),0.00110121,,Units of volume
fea33583-ae83-4398-b7fb-7f90fd097269,qt (US liq),Quart (US Liquid),9.46353E-4,,Units of volume
df6987d7-afcc-4c92-ae2c-3ce3bc6f5578,ul,Microlitre,1.0E-9,µl;µL,Units of volume
2d64c7e0-1167-42ec-9988-c441c261a35c,US fl oz,US customary fluid ounce,2.95735295625E-5,,Units of volume
9cd2a2c5-77a2-4b58-b893-b039dfe635ed,yd3,Cubic yards,0.76455485798,cu.yd,Units of volume
a0805221-ed1e-4177-9e2a-4b72ce2beb06,l*km,Litre times kilometre,0.001,,Units of volume*length
112e9d4a-262d-4dcb-8003-c19204faedfb,l*mi,Litre times international mile,0.001609344,,Units of volume*length
0c62f887-da22-4b0a-999b-145c4b2ffe1e,l*nmi,Litre times nautical mile,0.001852,,Units of volume*length
5042a5e9-b8fd-40ca-b13e-cb9f1ce0357a,m3*km,Cubic metre times kilometre,1.0,,Units of volume*length
de900fea-2536-4fe5-a92d-00ac9a28654b,m3*mi,Cubic metre times international mile,1.609344,,Units of volume*length
fad23f5c-f841-4369-ba17-2dd297b5fadf,m3*nmi,Cubic metre times nautical mile,1.852,,Units of volume*length
9e6a97bb-e0cf-4e4a-9f3a-37067740b421,cm3*a,Cubic centimetre times year,9.999999999999997E-7,cm3y,Units of volume*time
8c1fafa2-2b2e-4fef-9581-5de34ae87350,l*a,Litre times year,0.001,,Units of volume*time
9942703a-5962-4823-8ea3-7af06af9a21e,l*d,Litre times day,2.7397260273972604E-6,l*day,Units of volume*time
ee5f2241-18af-4444-b457-b275660e5a20,m3*a,Cubic metre times year,1.0,m³*a;m3a;m3y;m3*year,Units of volume*time
f3a1ae74-9750-4199-acdc-2e7e0546e0a5,m3*d,Cubic metre times day,0.00273972602739726,m³*d;m3d;m3day,Units of volume*time
