IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,a2eac12b-6e59-4259-9f0b-766b6294ded3,Sulfuric acid,007664-93-9,forestry,Emission to soil,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,cacc22dc-2711-46a2-bdf3-7e25675ab3a7,Hydrogen fluoride,007664-39-3,forestry,Emission to soil,kg,1.6
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,9bb73c31-c01d-4384-b567-15c1544ae581,Sulfuric acid,,agricultural,Emission to soil,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,3096aade-6536-48d8-93da-fd41f5d6eebd,Hydrogen sulfide,007783-06-4,agricultural,Emission to soil,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,e4d585b8-fc05-49ee-8fc8-ac05cdce6217,Hydrogen chloride,007647-01-0,agricultural,Emission to soil,kg,0.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,40a40e1d-4c27-4735-8971-543c752abcdf,Hydrogen fluoride,007664-39-3,agricultural,Emission to soil,kg,1.6
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,2d098ca9-f784-4ee9-81fd-e65df70846c0,Phosphoric acid,007664-38-2,agricultural,Emission to soil,kg,0.98
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,4d768f3c-70e8-4317-b017-1bb491c2f90a,Nitric acid,007697-37-2,agricultural,Emission to soil,kg,0.51
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,f42e87c1-7a10-4276-9862-a13ca1e5f4e2,Hydrogen chloride,007647-01-0,unspecified,Emission to soil,kg,0.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,cc252d69-b850-4931-8085-11ed7e2355ea,Sulfuric acid,007664-93-9,unspecified,Emission to soil,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,59f8f8d9-c482-469d-b1c2-9825b8b33596,Hydrogen sulfide,007783-06-4,unspecified,Emission to soil,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,a19eb862-83bf-4380-ac8b-2843c75937c0,Hydrogen fluoride,007664-39-3,unspecified,Emission to soil,kg,1.6
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,d501bed2-4ab9-47ff-baf7-cafbec9f10d2,Phosphoric acid,007664-38-2,unspecified,Emission to soil,kg,0.98
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,aaa22d17-5c74-4b6f-bdaf-69b4b54e2480,Nitric acid,007697-37-2,unspecified,Emission to soil,kg,0.51
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,70e4226d-3c91-45a6-9465-56b59d6f5b92,Hydrogen sulfide,007783-06-4,industrial,Emission to soil,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,5e25c996-03b4-4a21-b79e-4d75f68f39c3,Hydrogen chloride,007647-01-0,industrial,Emission to soil,kg,0.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,e65b58c0-7a36-469a-9903-9d4ef1f020e6,Sulfuric acid,007664-93-9,industrial,Emission to soil,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,21ca555e-db01-497a-92ee-0bd0e32c345d,Hydrogen fluoride,007664-39-3,industrial,Emission to soil,kg,1.6
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,2354e2f3-5a4e-4d54-8183-4027fb64c4eb,Nitric acid,,industrial,Emission to soil,kg,0.51
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,5def994f-b874-463f-9129-4176dff192cc,Phosphoric acid,007664-38-2,industrial,Emission to soil,kg,0.98
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,254da599-dd28-487e-92c7-4a4a9097e1dd,Hydrogen sulfide,007783-06-4,"river, long-term",Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,99d1b7d7-5493-486e-b339-58b34d814094,Sulfuric acid,007664-93-9,"river, long-term",Emission to water,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,226fb7e6-0ee2-4e8a-9fac-67d83b77aa75,Phosphoric acid,007664-38-2,"river, long-term",Emission to water,kg,0.98
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,51b06290-9a7f-4750-86bc-d1db0dd503a7,Ammonia,007664-41-7,"river, long-term",Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,8801b086-ff81-4387-80e1-45d8ed325d7b,Nitric acid,007697-37-2,"river, long-term",Emission to water,kg,0.51
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,22e61915-b24b-4d46-871c-fea928d9d719,Sulfuric acid,007664-93-9,"fresh water, long-term",Emission to water,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,85f61963-86f4-4cc9-9521-8150b081fbc7,Hydrogen sulfide,007783-06-4,"fresh water, long-term",Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,90b08e70-9da2-4e91-a18c-73def7cf2b94,Ammonia,007664-41-7,"fresh water, long-term",Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,4fbdbf12-9a9d-40c9-8ca3-ba4effa9f1fb,Sulfuric acid,007664-93-9,fossil-,Emission to water,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,85447af9-07a4-4204-bfd4-2a90266e8769,Hydrogen sulfide,007783-06-4,fossil-,Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,e6f17d77-77a2-4651-ace9-dff1bd5d9d17,Hydrogen fluoride,007664-39-3,fossil-,Emission to water,kg,1.6
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,4ce8fa3f-77e7-4579-9867-a91a055f1835,Nitric acid,007697-37-2,fossil-,Emission to water,kg,0.51
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,448934cb-8be4-4ae2-acdb-de9dec10459b,Phosphoric acid,007664-38-2,fossil-,Emission to water,kg,0.98
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,a6fa3c5f-5323-487e-afba-12740ca8ea70,Ammonia,007664-41-7,fossil-,Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,cb3d04e3-6ab7-4eff-b9fc-db17802d7fc6,Sulfuric acid,007664-93-9,fresh water,Emission to water,kg,0.65
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,ed9c7879-2c8f-47ab-943d-c4363cf08b5b,Hydrogen sulfide,007783-06-4,fresh water,Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,9f2d488e-c37a-4507-86c3-0b35f628ca30,Hydrogen chloride,007647-01-0,fresh water,Emission to water,kg,0.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,2ae53816-d258-4a14-83a6-ca8454eb361e,Hydrogen fluoride,007664-39-3,fresh water,Emission to water,kg,1.6
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,4b81a3e2-b3fc-4e2f-81aa-5a68d11084c8,Ammonia,007664-41-7,fresh water,Emission to water,kg,1.88
IMPACT 2002+,2a1a7f55-c622-378e-af69-aef735cb5387,Aquatic acidification,kg SO2 eq,dcd473f2-93b3-416b-8b97-d157b6ce1fe8,Phosphoric acid,007664-38-2,fresh water,Emission to water,kg,0.98
